rank,feature,importance_score
1,num__Weight,0.27652
2,num__Age,0.09139
3,num__Height,0.08277
4,num__FCVC,0.07508
5,num__NCP,0.05085
6,num__TUE,0.04792
7,num__FAF,0.04708
8,num__CH2O,0.04501
9,cat__Gender_Female,0.03664
10,cat__Gender_Male,0.03603
11,cat__family_history_with_overweight_yes,0.02454
12,cat__CALC_Sometimes,0.02299
13,cat__family_history_with_overweight_no,0.02076
14,cat__CAEC_Sometimes,0.02013
15,cat__CALC_no,0.01861
16,cat__CAEC_Frequently,0.01788
17,cat__MTRANS_Public_Transportation,0.01688
18,cat__MTRANS_Automobile,0.01501
19,cat__FAVC_no,0.01199
20,cat__FAVC_yes,0.01155
21,cat__SCC_yes,0.0051
22,cat__SCC_no,0.0047
23,cat__CALC_Frequently,0.00463
24,cat__CAEC_Always,0.00351
25,cat__CAEC_no,0.00339
26,cat__MTRANS_Walking,0.00338
27,cat__SMOKE_no,0.00236
28,cat__SMOKE_yes,0.00212
29,cat__MTRANS_Motorbike,0.00069
30,cat__MTRANS_Bike,0.00039
31,cat__CALC_Always,0.00011
